NO,프로젝트 정보,,,,,,,,,행사 정보,,,
,PM 프로필,,프로젝트명,연도,행사시작일,행사종료일,발주처,행사분류,산업분류,주최기관,주관기관,사업개요,연관어
18,E&E 사업부,이벤트&엑스포 3팀,2025년 글로벌콘텐츠페스티벌 in 순천,2025,2025-10-17,2025-10-19,순천시,"비즈니스 행사, 전시, 이벤트",문화/예술/디자인/콘텐츠/영상/광고,순천시,순천시," ❍ 행 사 명 : 글로벌 콘텐츠 페스티벌 in 순천(부제:올텐가 All Content Garden)  ❍ 일    시 : 2025. 10. 17.(금) ~ 10. 19.(일) / 3일간  ❍ 장    소 : 오천그린광장, 그린아일랜드, 정원워케이션 등   ❍ 주요내용 : B2C & B2B가 융복합된 종합 문화콘텐츠 축제",#오천그린광장 #올텐가 #콘텐츠페스티벌 #지브리OST오케스트라 #로커스순천 #루미뚱이 #일러스타페스
19,MICE Tech 사업 본부,MICE Tech 사업 본부,2025 글로벌 문화콘텐츠 산업전 in 순천 비즈니스 상담 업무 추진,2025,2025-10-17,2025-10-19,㈜플라잉베어,비즈니스 행사,문화/예술/디자인/콘텐츠/영상/광고,순천시,순천시,,
20,E&E 사업부,전시 2팀,2025년 추석맞이 농축산물 할인지원 전통시장 환급행사,2025,2025-10-01,2025-10-05,한국농수산식품유통공사(aT),프로모션,농수축산/식음료,한국농수산식품유통공사(aT),한국농수산식품유통공사(aT),목적: 전통시장에서 농축산물 할인지원사업 이용이 어려운 고령층 등에게 사업혜택 제공을 위해 국산 농축산물 구매자 대상 현장 환급 할인행사 추진 / 지원내용: 참여시장 내 지정점포에서 국내산 신선 농축산물 구매금액의 최대 30% 를 온누리상품권(지류)로 환급(기간 중 최대 2만원 환급) / 대상 품목: 국내산 신선 농축산물 전품목,#농축산물 #환급행사 #농축산 #국내산 #온누리상품권 #전통시장
21,E&E 사업부,전시 1팀,2025 K-GEO Festa,2025,2025-09-24,2025-09-26,한국국토정보공사(LX),"국제회의, 비즈니스 행사, 전시",전자/정보통신/방송장비/스마트,국토교통부(MOLIT),"한국공간정보산업협동조합, 한국공간정보산업협회(KASM), 한국국토정보공사(LX), 한국도로공사(KEC), 공간정보산업진흥원(SpaceN), 공간정보품질관리원(SIQMS), 국토연구원(KRIHS)",,
22,MICE Tech 사업 본부,MICE Tech 사업 본부,SPP 국제콘텐츠마켓 2025 운영 용역,2025,2025-09-24,2025-09-26,서울경제진흥원,비즈니스 행사,문화/예술/디자인/콘텐츠/영상/광고,서울경제진흥원,서울경제진흥원,,
23,MICE Tech 사업 본부,MICE Tech 사업 본부,2025 월드 시티테크 엑스포 행사 대행 용역,2025,2025-09-24,2025-09-26,킨텍스(KINTEX),엑스포,과학/기술서비스,"킨텍스(KINTEX), 경기주택도시공사","사단법인 한국스마트빌리지협회, 대한무역투자진흥공사(KOTRA)",,
24,공간 사업부,놀이터사업팀,은평아이맘놀이터 2~4호점 운영안내 사인물 제작 및 설치 ,2025,2025-05-28,2025-09-24,은평구,공간사업(놀이터),건설/건축/인테리어,은평구,은평구,,
25,컨벤션 사업부,컨벤션 2팀,2025 APEC 중소기업실무그룹 워크숍,2025,2025-09-01,2025-09-05,중소벤처기업진흥공단(KOSME),국제회의,정책/행정/국방/소방/안전,중소벤처기업부(MSS),중소벤처기업진흥공단(KOSME),2025 APEC 중소기업 디지털 전환의 현황과 전망 포럼 및 2025 APEC 중소기업 혁신센터 20주년 기념식,#포럼 #중소기업 #중소벤처기업부 #APEC #중소벤처기업진흥공단 #APEC중소기업혁신센터 #기념식 
26,컨벤션 사업부,컨벤션 2팀,APEC 중소기업 장관회의,2025,2025-09-01,2025-09-05,중소벤처기업부(MSS),"국제회의, 기타",정책/행정/국방/소방/안전,중소벤처기업부(MSS),중소벤처기업부(MSS)," APEC 중소기업장관회의 및 필드트립, 오만찬, 공동기자회견",#장관회의 #중소기업 #중소벤처기업부 #APEC 
27,MICE Tech 사업 본부,MICE Tech 사업 본부,2025년 K-콘텐츠 엑스포 개최(1차) 위탁용역,2025,"2025-07-22, 2025-09-03","2025-07-24, 2025-09-05",한국콘텐츠진흥원(KOCCA),비즈니스 행사,문화/예술/디자인/콘텐츠/영상/광고,한국콘텐츠진흥원(KOCCA),한국콘텐츠진흥원(KOCCA),,
